species_scientific_name,latitude,longitude,catch_date,quantity,weight_kg,depth_m,water_temperature,fishing_method,vessel_name,notes
Pangasius pangasius,35.16289,91.906504,2023-01-20,36,80.28,182.9,22.7,Cast Net,Stephens-Salazar,Writer focus arm wife south father.
Nemipterus japonicus,9.033161,75.395138,2023-05-12,203,92.09,100.9,25.5,Cast Net,Graves LLC,Whole quickly use billion shake outside no.
Mystus tengara,22.498809,96.603327,2025-02-11,217,673.79,132.2,22.5,Hook and Line,Anderson-Walton,Relate behavior enough.
Sardinella longiceps,17.490906,68.240156,2022-12-06,203,581.88,147.6,29.9,Hook and Line,"Terry, Zhang and Dawson",West accept day threat meet rule phone.
Nemipterus japonicus,18.538781,95.09179,2025-09-18,214,608.38,131.2,28.6,Hook and Line,Farmer Group,Leader different politics direction.
Tenualosa ilisha,22.413423,95.270348,2025-07-29,16,50.46,167.6,20.0,Hook and Line,Frost LLC,Tonight issue attention blood machine.
Sardinella longiceps,17.622083,77.224589,2025-08-06,123,136.76,113.1,22.0,Cast Net,Vazquez-Cole,Federal writer truth minute contain part move.
Nemipterus japonicus,22.696939,93.547106,2024-05-04,184,270.5,152.6,22.5,Cast Net,Sims-Gonzalez,World fire develop husband scientist.
Tenualosa ilisha,18.824149,85.409411,2024-01-10,107,522.87,135.1,18.9,Trawl,Spears and Sons,Class subject husband white will sell successful fly.
Catla catla,23.400632,70.653432,2022-11-06,255,727.3,45.1,23.1,Trawl,Jensen-Walsh,Material create study unit.
Mystus tengara,11.880771,68.741834,2023-06-05,100,393.66,35.3,29.8,Trawl,Richard-Smith,Size government baby mean fear else.
Catla catla,23.562084,96.234285,2025-02-05,207,772.98,55.3,20.8,Purse Seine,Hoffman Ltd,Imagine effect become.
Nemipterus japonicus,14.184014,76.862896,2024-07-03,157,319.18,186.2,24.0,Gillnet,Mendoza LLC,Television try surface interest.
Catla catla,11.542615,90.945,2024-02-21,38,43.71,138.5,19.6,Hook and Line,Nelson-Evans,Than interest require social lose car industry.
Scomberomorus guttatus,25.074556,79.144944,2023-02-15,48,209.44,170.3,24.4,Hook and Line,"Clements, Wong and Fletcher",Industry current close civil rule require.
Catla catla,30.772866,81.167427,2025-03-05,264,1173.47,81.7,25.6,Purse Seine,Jones-Wright,Heavy eight voice player inside thus even.
Clarias batrachus,20.015442,84.698672,2023-10-04,40,78.29,127.3,19.2,Gillnet,Ramirez LLC,Phone affect challenge color.
Sardinella longiceps,11.353024,96.686232,2025-09-15,115,55.4,8.8,25.3,Purse Seine,"Castillo, Stone and Smith",Film sure entire involve central successful buy.
Scomberomorus guttatus,30.01876,75.834195,2025-03-14,206,896.0,93.0,24.1,Gillnet,Dennis LLC,Them truth east capital.
Mystus tengara,22.743738,90.484863,2023-07-29,157,750.14,161.7,19.1,Cast Net,"Ryan, Wade and Adams",When seek cause state happen.
Clarias batrachus,35.599894,86.174889,2025-06-17,287,1321.05,70.9,24.3,Trawl,Martinez-Anderson,Care clearly above local.
Nemipterus japonicus,35.948037,80.090287,2024-08-22,132,419.31,4.0,25.9,Cast Net,White-Williams,Involve note point check reflect.
Sardinella longiceps,20.57351,85.487793,2023-10-29,270,786.55,123.6,31.0,Purse Seine,"Frey, Smith and Baker",Discuss issue far how probably determine vote.
Catla catla,29.973101,91.033519,2024-11-13,265,1147.71,151.4,25.9,Hook and Line,"Lara, Reed and Williams",Spend toward community education business find church.
Labeo rohita,34.842809,94.431243,2023-09-07,250,1132.44,193.6,26.1,Gillnet,Carr LLC,Administration executive better class fill yourself provide.
Mystus tengara,34.093131,87.920414,2023-03-21,241,384.49,177.5,25.9,Cast Net,Hamilton-Watson,Again opportunity black building.
Pangasius pangasius,18.504878,75.495357,2024-12-29,156,388.4,176.7,21.0,Hook and Line,Caldwell and Sons,Protect under before treatment.
Tenualosa ilisha,7.428544,82.778593,2023-03-25,148,633.88,156.9,19.8,Purse Seine,Small-Elliott,Central full my anyone old.
Scomberomorus guttatus,27.964638,76.156074,2024-08-31,83,136.85,149.5,31.2,Trawl,Fisher Ltd,Language happen challenge imagine.
Labeo rohita,29.115836,95.256215,2023-07-17,187,255.77,28.3,26.6,Cast Net,Baker Group,Piece worry sound series foreign majority war training.
Sardinella longiceps,25.155348,82.797683,2024-01-02,243,624.8,139.9,25.5,Purse Seine,Gonzalez-White,Everybody PM remember close send bill make.
Scomberomorus guttatus,23.749474,71.087453,2023-03-24,34,74.44,31.4,31.2,Hook and Line,Donaldson LLC,Maybe answer today myself modern edge manage.
Sardinella longiceps,11.507289,72.577622,2024-03-06,135,573.22,137.3,19.7,Cast Net,Gonzalez-Randolph,Follow billion particular political cultural.
Nemipterus japonicus,9.478186,96.565166,2025-07-20,255,520.72,177.4,31.0,Hook and Line,Davis-Thornton,Dream need artist other oil generation us.
Clarias batrachus,12.362071,77.824712,2023-03-23,221,1075.21,110.5,18.5,Trawl,"Mccall, Taylor and Ward",Bad Mrs piece professional agent first town.
Mystus tengara,32.073479,84.357792,2025-08-07,293,197.26,91.2,23.5,Cast Net,"Davis, Brooks and Smith",Thus hope attack money who.
Mystus tengara,16.74124,83.021912,2022-11-27,13,55.29,66.8,23.9,Cast Net,Yoder-Brown,Then thing weight finish letter body.
Scomberomorus guttatus,24.147102,85.656837,2024-06-05,266,154.08,70.6,20.4,Cast Net,"Cooper, Cunningham and Hendrix",Work story born.
Scomberomorus guttatus,19.731194,79.22055,2024-01-05,147,731.3,109.6,22.4,Hook and Line,"Velasquez, Ramos and Buchanan",Fly material size cover cut.
Labeo rohita,11.099066,76.944917,2022-11-25,260,641.99,4.6,28.8,Purse Seine,"Short, Shaw and Robertson",Lot upon nearly.
Catla catla,33.05805,69.07075,2024-11-15,280,499.81,158.4,22.0,Purse Seine,"Watts, Garcia and Dominguez",Some most nice financial play.
Pangasius pangasius,23.275399,87.008363,2023-09-21,99,456.63,179.1,31.1,Cast Net,"Mitchell, Gray and Bruce",Country here you later first kind forget.
Pangasius pangasius,21.933192,92.706239,2023-03-25,244,1064.51,104.5,31.6,Cast Net,"Gonzales, Weber and Lester",Play people challenge per business every provide without.
Clarias batrachus,9.47454,70.219008,2023-07-19,267,1208.11,123.9,20.5,Gillnet,Bartlett-Davis,Deep trial compare charge magazine voice field.
Labeo rohita,18.040432,74.85682,2024-11-02,7,25.72,115.4,18.0,Purse Seine,Soto-Jacobs,Sure leg top employee open situation.
Sardinella longiceps,6.051299,94.224305,2024-02-28,152,431.5,174.4,21.2,Purse Seine,Hess-Santos,Off college exactly brother identify ago always majority.
